A1	A2	A3	A4	A5	A6	A7	A8
812.494	177.141	116.171	23.936	135.022	454.217	374.869	1257.258
848.301	188.029	121.963	25.622	133.496	459.667	385.622	1277.854
849.134	195.367	124.473	25.857	133.495	449.364	375.844	1287.099
815.831	182.86	124.953	25.977	135.734	455.985	384.325	1301.232
821.219	177.395	126.714	25.494	130.108	433.801	373.865	1262.436
788.43	188.315	124.136	24.714	127.61	420.826	360.447	1253.992
767.805	165.754	116.611	23.834	124.1	404.759	346.476	1187.938
793.162	166.898	115.136	20.776	129.037	408.241	359.039	1178.166
782.357	188.874	107.537	21.289	128.921	413.094	371.29	1196.665
706.717	177.651	103.058	21.181	119.55	383.739	349.847	1110.481
661.383	175.087	99.538	19.167	115.337	355.196	307.684	1054.448
671.354	168.492	98.777	19.721	115.917	380.369	333.134	1089.12
678.469	164.437	97.209	18.789	119.09	391.265	343.267	1092.28
685.76	172.024	86.098	20.438	119.408	395.197	353.475	1120.732
624.726	170.443	98.411	21.132	119.702	399.545	355.813	1189.636
684.383	183.801	93.735	21.695	114.715	401.155	350.483	1172.978
692.107	188.265	97.665	22.401	116.371	397.24	345.424	1185.883
663.923	198.407	98.34	22.239	113.356	391.958	352.195	1191.911
675.975	208.907	100.516	22.278	112.587	389.382	347.602	1222.552
643.442	204.266	100.98	23.361	106.05	382.818	336.556	1225.119
667.297	221.307	98.188	22.209	103.178	365.836	329.193	1191.158
668.756	214.439	96.572	24.004	101.865	365.51	329.532	1210.365
639.519	213.029	93.171	22.807	99.298	362.392	332.285	1159.043
646.841	230.038	92.919	23.346	95.166	343.292	310.03	1177.154
647.541	211.604	94.547	22.834	96.275	346.37	304.836	1165.982
576.069	207.143	89.939	22.557	95.459	347.43	299.59	1157.854
570.258	195.93	93.607	21.458	93.729	341.627	282.898	1150.175
586.801	190.066	91.087	19.942	97.59	343.738	296.256	1158.71
582.161	196.631	89.025	19.922	98.608	345.227	294.743	1144.329
580.459	192.715	91.138	19.377	99.681	356.708	308.155	1160.193
589.064	191.704	90.627	18.293	98.499	355.945	298.812	1125.419
554.603	190.063	90.494	17.588	99.582	361.147	308.64	1122.048
551.143	201.29	90.881	15.36	98.56	358.482	311.359	1101.391
545.615	200.267	89.279	15.462	96.411	354.039	304.479	1067.885
527.868	201.24	88.208	14.148	94.066	322.148	287.709	1049.704
432.604	183.861	77.918	13.526	85.736	303.893	273.586	1037.904
437.639	173.85	71.223	13.929	89.02	268.714	257.776	934.819
454.247	170.46	76.741	14.839	96.106	292.588	271.395	968.731
430.831	165.02	76.64	15.359	96.788	310.718	278.903	1016.175
453.956	182.444	79.782	15.105	97.244	315.807	277.399	1041.886
465.879	179.204	81.937	14.04	97.075	314.726	286.611	1015.678
484.626	187.248	82.26	15.377	99.141	314.055	288.365	1044.001
483.953	193.196	83.299	15.298	100.136	314.925	286.07	1026.353
538.178	217.348	84.302	15.614	101.158	317.315	303.037	1058.608
529.174	200.215	87.268	16.909	99.265	311.895	303.079	1083.163
549.916	213.741	89.387	16.822	97.035	320.026	300.924	1077.578
524.76	215.462	90.173	16.685	98.528	315.715	296.212	1079.634
569.408	226.537	95.846	17.331	99.846	330.369	318.539	1104.793
552.425	214.077	93.335	16.799	99.368	312.724	302.17	1058.838
574.058	230.234	90.233	16.421	95.821	311.767	298.088	1079.249
593.971	237.474	88.294	16.758	97.456	320.574	302.315	1094.155
617.835	260.14	93.667	17.156	100.873	328.907	311.595	1102.558
570.754	268.483	92.66	15.877	96.418	317.97	285.004	1094.334
572.13	266.678	93.701	15.695	98.108	312.508	282.161	1078.954
558.856	251.789	92.56	14.917	93.414	314.712	290.2	1070.746
554.289	256.693	92.265	15.047	92.346	310.996	278.344	1068.133
544.475	259.401	96.159	14.937	91.397	299.779	274.373	1021.144
575.634	252.856	99.088	15.756	90.383	306.442	279.466	1056.008
595.064	251.21	99.002	15.473	87.727	298.511	269.28	1021.411
650.205	253.138	100.636	15.174	90.907	310.279	282.296	1045.597
629.701	272.348	101.016	16.332	96.035	323.742	297.288	1094.545
652.988	275.559	100.035	16.442	97.019	327.34	292.483	1090.159
619.992	278.941	97.117	15.833	96.16	329.627	295.072	1090.308
627.136	281.058	96.48	16.131	94.58	330.014	288.111	1083.675
636.369	272.777	96.906	16.049	93.885	330.421	289.382	1063.305
652.294	280.511	97.321	15.785	93.173	325.246	283.18	1038.876
638.947	306.212	93.285	16.42	95.586	336.427	299.314	1058.568
